codigo_disciplina,nome_disciplina,creditos,codigo_turma,professor,sala,vagas,dia,inicio,fim
ADM01134,ADMINISTRAÇÃO E FINANÇAS,4,C,GILBERTO TAVARES DOS SANTOS,700 Anfiteatro do Prédio da Engenharia Nova - Campus: Centro,1,SEGUNDA,16:30,18:10
ADM01134,ADMINISTRAÇÃO E FINANÇAS,4,C,GILBERTO TAVARES DOS SANTOS,700 Anfiteatro do Prédio da Engenharia Nova - Campus: Centro,1,QUARTA,16:30,18:10
MAT01355,ÁLGEBRA LINEAR I - A,4,B1,Thaisa Raupp Tamusiunas,Sala 101 - Campus: Vale,5,TERCA,10:30,12:10
MAT01355,ÁLGEBRA LINEAR I - A,4,B1,Thaisa Raupp Tamusiunas,Sala 101 - Campus: Vale,5,QUINTA,10:30,12:10
MAT01355,ÁLGEBRA LINEAR I - A,4,C1,ADRIANA NEUMANN DE OLIVEIRA,Sala 101 - Campus: Vale,15,TERCA,13:30,15:10
MAT01355,ÁLGEBRA LINEAR I - A,4,C1,ADRIANA NEUMANN DE OLIVEIRA,Sala 101 - Campus: Vale,15,QUINTA,13:30,15:10
MAT01355,ÁLGEBRA LINEAR I - A,4,D1,LEANDRO FARINA,Sala 101 - Campus: Vale,1,TERCA,15:30,17:10
MAT01355,ÁLGEBRA LINEAR I - A,4,D1,LEANDRO FARINA,Sala 101 - Campus: Vale,1,QUINTA,15:30,17:10
MAT01355,ÁLGEBRA LINEAR I - A,4,D2,ADRIANA NEUMANN DE OLIVEIRA,Sala 102 - Campus: Vale,11,TERCA,15:30,17:10
MAT01355,ÁLGEBRA LINEAR I - A,4,D2,ADRIANA NEUMANN DE OLIVEIRA,Sala 102 - Campus: Vale,11,QUINTA,15:30,17:10
MAT01355,ÁLGEBRA LINEAR I - A,4,E1,LUCAS HENRIQUE BACKES,Sala 101 - Campus: Vale,3,TERCA,18:30,20:10
MAT01355,ÁLGEBRA LINEAR I - A,4,E1,LUCAS HENRIQUE BACKES,Sala 101 - Campus: Vale,3,QUINTA,18:30,20:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,A,MARCELO WALTER,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,5,SEGUNDA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,A,MARCELO WALTER,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,5,QUARTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,A,MARCELO WALTER,SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale,5,QUINTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,B,MARCELO WALTER,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,9,SEGUNDA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,B,MARCELO WALTER,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,9,QUARTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,B,MARCELO WALTER,SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale,9,QUINTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,C,ERIKA FERNANDES COTA,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,16,SEGUNDA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,C,ERIKA FERNANDES COTA,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,16,QUARTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,C,ERIKA FERNANDES COTA,SALA DE AULA 104 - PRÉDIO 43425 - Campus: Vale,16,QUINTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,D,ERIKA FERNANDES COTA,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,7,SEGUNDA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,D,ERIKA FERNANDES COTA,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,7,QUARTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,D,ERIKA FERNANDES COTA,SALA DE AULA 104 - PRÉDIO 43425 - Campus: Vale,7,QUINTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,E,RENAN DE QUEIROZ MAFFEI,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,3,TERCA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,E,RENAN DE QUEIROZ MAFFEI,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,3,QUINTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,E,RENAN DE QUEIROZ MAFFEI,SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale,3,SEXTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,F,RENAN DE QUEIROZ MAFFEI,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,12,TERCA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,F,RENAN DE QUEIROZ MAFFEI,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,12,QUINTA,13:30,15:10
