codigo_disciplina,nome_disciplina,creditos,codigo_turma,professor,sala,vagas,dia,inicio,fim
ADM01134,ADMINISTRAÇÃO E FINANÇAS,4,A,FERNANDO CAETANO COSTA,700 Anfiteatro do Prédio da Engenharia Nova - Campus: Centro,1,TERCA,18:30,21:50
MAT01355,ÁLGEBRA LINEAR I - A,4,A1,Wanderley Nunes Do Nascimento,Sala 101 - Campus: Vale,14,TERCA,8:30,10:10
MAT01355,ÁLGEBRA LINEAR I - A,4,A1,Wanderley Nunes Do Nascimento,Sala 101 - Campus: Vale,14,QUINTA,8:30,10:10
MAT01355,ÁLGEBRA LINEAR I - A,4,B2,JANAINA PIRES ZINGANO,Sala 102 - Campus: Vale,6,TERCA,10:30,12:10
MAT01355,ÁLGEBRA LINEAR I - A,4,B2,JANAINA PIRES ZINGANO,Sala 102 - Campus: Vale,6,QUINTA,10:30,12:10
MAT01355,ÁLGEBRA LINEAR I - A,4,C2,CARLOS FELIPE LARDIZABAL RODRIGUES,Sala 102 - Campus: Vale,15,TERCA,13:30,15:10
MAT01355,ÁLGEBRA LINEAR I - A,4,C2,CARLOS FELIPE LARDIZABAL RODRIGUES,Sala 102 - Campus: Vale,15,QUINTA,13:30,15:10
MAT01355,ÁLGEBRA LINEAR I - A,4,D1,LEANDRO FARINA,Sala 101 - Campus: Vale,1,TERCA,15:30,17:10
MAT01355,ÁLGEBRA LINEAR I - A,4,D1,LEANDRO FARINA,Sala 101 - Campus: Vale,1,QUINTA,15:30,17:10
MAT01355,ÁLGEBRA LINEAR I - A,4,D2,ADRIANA NEUMANN DE OLIVEIRA,Sala 102 - Campus: Vale,15,TERCA,15:30,17:10
MAT01355,ÁLGEBRA LINEAR I - A,4,D2,ADRIANA NEUMANN DE OLIVEIRA,Sala 102 - Campus: Vale,15,QUINTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,A,MARCELO WALTER,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,6,SEGUNDA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,A,MARCELO WALTER,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,6,QUARTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,A,MARCELO WALTER,SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale,6,QUINTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,B,MARCELO WALTER,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,9,SEGUNDA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,B,MARCELO WALTER,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,9,QUARTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,B,MARCELO WALTER,SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale,9,QUINTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,D,ERIKA FERNANDES COTA,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,5,SEGUNDA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,D,ERIKA FERNANDES COTA,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,5,QUARTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,D,ERIKA FERNANDES COTA,SALA DE AULA 104 - PRÉDIO 43425 - Campus: Vale,5,QUINTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,E,RENAN DE QUEIROZ MAFFEI,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,7,TERCA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,E,RENAN DE QUEIROZ MAFFEI,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,7,QUINTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,E,RENAN DE QUEIROZ MAFFEI,SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale,7,SEXTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,F,RENAN DE QUEIROZ MAFFEI,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,4,TERCA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,F,RENAN DE QUEIROZ MAFFEI,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,4,QUINTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,F,RENAN DE QUEIROZ MAFFEI,SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale,4,SEXTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,G,CARLA MARIA DAL SASSO FREITAS,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,15,TERCA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,G,CARLA MARIA DAL SASSO FREITAS,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,15,QUINTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,G,CARLA MARIA DAL SASSO FREITAS,SALA DE AULA 104 - PRÉDIO 43425 - Campus: Vale,15,SEXTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,H,CARLA MARIA DAL SASSO FREITAS,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,6,TERCA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,H,CARLA MARIA DAL SASSO FREITAS,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,6,QUINTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,H,CARLA MARIA DAL SASSO FREITAS,SALA DE AULA 104 - PRÉDIO 43425 - Campus: Vale,6,SEXTA,15:30,17:10
INF01017,APRENDIZADO DE MÁQUINA,4,U,MARIANA RECAMONDE MENDOZA GUERREIRO,AUDITÓRIO 0 - Campus: Vale,12,TERCA,10:30,12:10
INF01017,APRENDIZADO DE MÁQUINA,4,U,MARIANA RECAMONDE MENDOZA GUERREIRO,AUDITÓRIO 0 - Campus: Vale,12,QUINTA,10:30,12:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,A,FERNANDA GUSMAO DE LIMA KASTENSMIDT,AUDITÓRIO 1 - Campus: Vale,30,SEGUNDA,10:30,12:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,A,FERNANDA GUSMAO DE LIMA KASTENSMIDT,Laboratório de Ensino 104 - 43413 - Campus: Vale,30,QUARTA,10:30,12:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,B,SERGIO LUIS CECHIN,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,20,TERCA,15:30,17:10
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,B,SERGIO LUIS CECHIN,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,20,QUINTA,15:30,17:10
