codigo_disciplina,nome_disciplina,creditos,codigo_turma,professor,sala,vagas,dia,inicio,fim
ADM01134,ADMINISTRAÇÃO E FINANÇAS,4,A,FERNANDO CAETANO COSTA,,1,SABADO,8:30,11:50
ADM01134,ADMINISTRAÇÃO E FINANÇAS,4,B,GILBERTO TAVARES DOS SANTOS,,2,SEGUNDA,18:30,20:10
ADM01134,ADMINISTRAÇÃO E FINANÇAS,4,B,GILBERTO TAVARES DOS SANTOS,,2,QUARTA,18:30,20:10
ADM01134,ADMINISTRAÇÃO E FINANÇAS,4,C,GILBERTO TAVARES DOS SANTOS,,4,SEGUNDA,16:30,18:10
ADM01134,ADMINISTRAÇÃO E FINANÇAS,4,C,GILBERTO TAVARES DOS SANTOS,,4,QUARTA,16:30,18:10
MAT01355,ÁLGEBRA LINEAR I - A,4,A1,CARLOS HOPPEN,Sala 102 - Campus: Vale,23,TERCA,8:30,10:10
MAT01355,ÁLGEBRA LINEAR I - A,4,A1,CARLOS HOPPEN,Sala 102 - Campus: Vale,23,QUINTA,8:30,10:10
MAT01355,ÁLGEBRA LINEAR I - A,4,B1,JANAINA PIRES ZINGANO,Sala 102 - Campus: Vale,21,TERCA,10:30,12:10
MAT01355,ÁLGEBRA LINEAR I - A,4,B1,JANAINA PIRES ZINGANO,Sala 102 - Campus: Vale,21,QUINTA,10:30,12:10
MAT01355,ÁLGEBRA LINEAR I - A,4,C2,MARIA PAULA GONCALVES FACHIN,Sala 103 - Campus: Vale,10,TERCA,13:30,15:10
MAT01355,ÁLGEBRA LINEAR I - A,4,C2,MARIA PAULA GONCALVES FACHIN,Sala 103 - Campus: Vale,10,QUINTA,13:30,15:10
MAT01355,ÁLGEBRA LINEAR I - A,4,D1,LEANDRO FARINA,Sala 102 - Campus: Vale,15,TERCA,15:30,17:10
MAT01355,ÁLGEBRA LINEAR I - A,4,D1,LEANDRO FARINA,Sala 102 - Campus: Vale,15,QUINTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,E,Joel Luis Carbonera,,20,SEGUNDA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,E,Joel Luis Carbonera,,20,QUARTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,E,Joel Luis Carbonera,,20,SEXTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,F,Joel Luis Carbonera,,20,SEGUNDA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,F,Joel Luis Carbonera,,20,QUARTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,F,Joel Luis Carbonera,,20,SEXTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,I,RENAN DE QUEIROZ MAFFEI,,2,SEGUNDA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,I,RENAN DE QUEIROZ MAFFEI,,2,QUARTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,I,RENAN DE QUEIROZ MAFFEI,,2,SEXTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,J,RENAN DE QUEIROZ MAFFEI,,3,SEGUNDA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,J,RENAN DE QUEIROZ MAFFEI,,3,QUARTA,13:30,15:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,J,RENAN DE QUEIROZ MAFFEI,,3,SEXTA,15:30,17:10
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,L,Lana Bertoldo Rossato,,2,SEGUNDA,8:30,10:10
