codigo_disciplina,nome_disciplina,creditos,codigo_turma,professor,sala,vagas,dia,inicio,fim
INF03001,Programacao Funcional,4,A,Ana Souza,101,35,SEGUNDA,08:30,10:10
INF03001,Programacao Funcional,4,A,Ana Souza,101,35,QUARTA,08:30,10:10
INF03001,Programacao Funcional,4,B,Carlos Lima,102,35,TERCA,08:30,10:10
INF03001,Programacao Funcional,4,B,Carlos Lima,102,35,QUINTA,08:30,10:10
INF03002,Teoria da Computacao,4,A,Mariana Alves,201,40,SEGUNDA,08:30,10:10
INF03002,Teoria da Computacao,4,A,Mariana Alves,201,40,QUARTA,08:30,10:10
INF03002,Teoria da Computacao,4,B,Ricardo Pereira,202,40,TERCA,10:30,12:10
INF03002,Teoria da Computacao,4,B,Ricardo Pereira,202,40,QUINTA,10:30,12:10
INF03003,Arquitetura de Computadores,4,A,Joao Mendes,301,30,SEGUNDA,10:30,12:10
INF03003,Arquitetura de Computadores,4,A,Joao Mendes,301,30,QUARTA,10:30,12:10
INF03003,Arquitetura de Computadores,4,B,Patricia Rocha,302,30,TERCA,08:30,10:10
INF03003,Arquitetura de Computadores,4,B,Patricia Rocha,302,30,QUINTA,08:30,10:10
INF03004,Redes Avancadas,4,A,Fernando Costa,401,45,SEGUNDA,10:30,12:10
INF03004,Redes Avancadas,4,A,Fernando Costa,401,45,QUARTA,10:30,12:10
INF03004,Redes Avancadas,4,B,Larissa Nunes,402,45,TERCA,10:30,12:10
INF03004,Redes Avancadas,4,B,Larissa Nunes,402,45,QUINTA,10:30,12:10
INF03005,Topicos em IA,4,A,Rafael Teixeira,501,35,SEGUNDA,13:30,15:10
INF03005,Topicos em IA,4,A,Rafael Teixeira,501,35,QUARTA,13:30,15:10
INF03005,Topicos em IA,4,B,Beatriz Moraes,502,35,TERCA,13:30,15:10
INF03005,Topicos em IA,4,B,Beatriz Moraes,502,35,QUINTA,13:30,15:10
INF03006,Seguranca da Informacao,4,A,Danilo Ribeiro,601,30,SEGUNDA,13:30,15:10
INF03006,Seguranca da Informacao,4,A,Danilo Ribeiro,601,30,QUARTA,13:30,15:10
INF03006,Seguranca da Informacao,4,B,Sofia Martins,602,30,TERCA,15:30,17:10
INF03006,Seguranca da Informacao,4,B,Sofia Martins,602,30,QUINTA,15:30,17:10
INF03007,Engenharia de Software II,4,A,Gustavo Araujo,701,40,SEGUNDA,15:30,17:10
INF03007,Engenharia de Software II,4,A,Gustavo Araujo,701,40,QUARTA,15:30,17:10
INF03007,Engenharia de Software II,4,B,Carla Ferreira,702,40,TERCA,13:30,15:10
INF03007,Engenharia de Software II,4,B,Carla Ferreira,702,40,QUINTA,13:30,15:10
INF03008,Banco de Dados Distribuidos,4,A,Karin Becker,801,40,SEGUNDA,17:30,19:10
INF03008,Banco de Dados Distribuidos,4,A,Karin Becker,801,40,QUARTA,17:30,19:10
INF03008,Banco de Dados Distribuidos,4,B,Renata Galante,802,40,TERCA,17:30,19:10
INF03008,Banco de Dados Distribuidos,4,B,Renata Galante,802,40,QUINTA,17:30,19:10
INF03009,Computacao Grafica Avancada,4,A,Thiago Silva,901,30,SEGUNDA,19:30,21:10
INF03009,Computacao Grafica Avancada,4,A,Thiago Silva,901,30,QUARTA,19:30,21:10
INF03009,Computacao Grafica Avancada,4,B,Bruna Campos,902,30,TERCA,19:30,21:10
INF03009,Computacao Grafica Avancada,4,B,Bruna Campos,902,30,QUINTA,19:30,21:10
INF03010,Algoritmos Paralelos,4,A,Marcio Fonseca,1001,35,SEGUNDA,19:30,21:10
INF03010,Algoritmos Paralelos,4,A,Marcio Fonseca,1001,35,QUARTA,19:30,21:10
INF03010,Algoritmos Paralelos,4,B,Helena Prado,1002,35,TERCA,17:30,19:10
INF03010,Algoritmos Paralelos,4,B,Helena Prado,1002,35,QUINTA,17:30,19:10
